RegionID,RegionName,City,State,Metro,CountyName,2015-01,2016-01,2016-02,B01001_011E,B01001_035E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03001_003E,B19013_001E,B19113_001E,B25001_001E,B25002_002E,B25003_002E,B25075_023E,B25075_024E,B25075_025E,B25002_003E,B25077_001E,B25064_001E
74726.0,38237,Martin,TN,Martin,Weakley,57.0,52.0,52.0,652,434,13560,2483,34,39,0,18,258,326,34780,55497,7019,6147,3307,11,0,7,872,117400,578
93294.0,80218,Denver,CO,Denver,Denver,273.0,307.0,308.0,1777,1763,16082,985,125,465,12,318,475,1570,47226,109722,12134,11143,3753,580,306,219,991,331600,814
58886.0,02746,New Bedford,MA,Providence,Bristol,136.0,140.0,140.0,671,823,9293,1754,157,148,0,2791,612,4284,25872,27854,6970,6051,1343,20,0,10,919,201400,743
73376.0,35206,Birmingham,AL,Birmingham,Jefferson,43.0,45.0,44.0,294,650,3921,12514,15,9,0,179,123,370,31048,36204,8601,6624,3572,6,6,8,1977,78700,735
77537.0,45246,Springdale,OH,Cincinnati,Hamilton,80.0,85.0,85.0,513,484,9217,4167,0,752,0,570,197,2460,49277,53264,6184,5583,2939,135,35,7,601,133300,916
92616.0,78703,Austin,TX,Austin,Travis,352.0,394.0,399.0,1237,1171,17719,321,184,1218,0,165,454,1678,81903,136845,10714,9716,4869,1252,957,1191,998,692800,1224
60521.0,07005,Boonton,NJ,New York,Morris,210.0,213.0,214.0,380,360,12670,559,0,1453,0,312,221,1488,98571,111176,5765,5506,4170,890,277,235,259,435900,1296
69856.0,28326,Sanford,NC,Sanford,Lee,82.0,85.0,85.0,394,671,10728,4927,278,262,0,1457,1265,2913,43712,45665,6697,5852,3551,67,9,1,845,130900,1111
87499.0,67204,Wichita,KS,Wichita,Sedgwick,70.0,75.0,75.0,547,631,15987,784,306,344,0,2308,593,6661,42033,56594,8699,7748,5777,56,49,0,951,99900,595
80082.0,50021,Ankeny,IA,Des Moines,Polk,126.0,132.0,132.0,1337,1159,21888,311,1,827,0,87,321,450,75485,93140,9942,9604,7083,63,10,0,338,171400,854
96327.0,91208,Glendale,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,447.0,468.0,471.0,588,472,12665,110,102,3000,0,224,447,1526,88955,95355,6225,5790,3798,1532,1107,596,435,718000,1561
88818.0,70809,Baton Rouge,LA,Baton Rouge,East Baton Rouge,124.0,131.0,131.0,1161,1484,18678,3692,51,1037,0,34,396,545,58488,90892,12648,10912,5649,302,206,205,1736,234500,1031
75059.0,38901,Grenada,MS,Grenada,Grenada,60.0,58.0,58.0,294,591,10346,8073,54,105,0,0,57,34,33776,44460,8617,6482,4834,70,9,48,2135,94800,530
100235.0,99517,Anchorage,AK,Anchorage,Anchorage,192.0,197.0,199.0,940,834,11272,541,980,1692,537,190,1585,1140,73304,84006,7382,6868,3682,150,60,18,514,293000,1181
86752.0,65270,Moberly,MO,Moberly,Randolph,63.0,69.0,69.0,808,559,15744,1345,89,114,15,48,480,219,38045,49745,7252,6017,4032,29,0,12,1235,88700,665
97175.0,93241,Lamont,CA,Bakersfield,Kern,74.0,82.0,84.0,966,902,14626,67,156,165,7,3158,295,17543,31886,30555,4493,4178,1678,11,0,0,315,83700,727
58467.0,01730,Bedford,MA,Boston,Middlesex,321.0,343.0,344.0,266,175,11536,214,0,1561,0,135,263,612,114676,147197,5287,5012,3525,1658,364,217,275,571800,1764
64081.0,15425,Connellsville Township,PA,Pittsburgh,Fayette,66.0,65.0,66.0,586,697,18863,241,33,53,0,36,180,159,37759,49898,8904,7940,5623,13,13,4,964,87500,571
74593.0,38019,Covington,TN,Memphis,Tipton,61.0,61.0,61.0,430,420,9552,5663,22,13,0,58,144,329,36431,44429,6452,5796,3551,65,16,15,656,109200,624
78986.0,48114,Brighton,MI,Detroit,Livingston,127.0,134.0,134.0,413,481,19912,94,22,211,0,22,294,295,86298,98654,7799,7453,7044,224,42,51,346,219700,855
90688.0,75094,Murphy,TX,Dallas-Fort Worth,Collin,96.0,108.0,109.0,247,370,11537,2806,67,6705,0,58,368,1178,121552,127888,5803,5747,5362,173,37,49,56,266600,1868
61945.0,10960,Nyack,NY,New York,Rockland,264.0,280.0,281.0,639,269,11046,2614,81,760,0,601,535,2521,80795,104347,7087,6378,3120,779,150,408,709,473500,1466
94407.0,84040,Layton,UT,Ogden,Davis,135.0,145.0,145.0,917,582,21708,409,33,525,232,314,983,1466,90025,94474,7384,7147,6107,184,43,82,237,245900,1331
64888.0,17057,Lower Swatara,PA,Harrisburg,Dauphin,96.0,95.0,95.0,715,719,19119,1668,57,407,0,214,696,885,52277,68387,9618,8828,6115,48,0,53,790,141300,791
93357.0,80305,Boulder,CO,Boulder,Boulder,320.0,382.0,387.0,796,604,15711,163,5,891,15,110,506,668,84568,126058,7395,7151,4379,1372,365,256,244,480300,1603
77524.0,45233,Cincinnati,OH,Cincinnati,Hamilton,98.0,97.0,97.0,275,255,15046,179,35,70,0,0,251,168,74136,93560,5749,5493,4680,85,16,0,256,190500,618
62112.0,11426,New York,NY,New York,Queens,368.0,383.0,386.0,806,623,9013,689,34,7537,0,1423,652,4061,77917,87813,6598,6084,4639,1502,158,40,514,456800,1406
74921.0,38632,Hernando,MS,Memphis,DeSoto,90.0,96.0,96.0,745,627,23045,2662,24,190,0,60,226,860,61175,75044,9579,9256,7615,96,0,41,323,167000,900
91885.0,77375,Tomball,TX,Houston,Harris,84.0,90.0,89.0,1155,1408,34252,3658,133,1932,0,2285,828,11448,61941,70832,15415,13945,9061,244,52,34,1470,145500,1038
75204.0,39194,Yazoo City,MS,Jackson,Yazoo,62.0,59.0,58.0,913,558,6313,13203,82,44,0,694,295,1397,24286,30318,6799,5739,3094,2,8,0,1060,64700,606
